,Datetime,Tweet_id,Content
31,2020-11-10 22:19:45+00:00,1326288464174862337,"Face coverings should cover both the nose + mouth to protect our community’s health ; do not substitute for social distancing. 😷 Hands should be frequently washed with soap + water for 20 seconds or hand sanitizer. Regularly clean surfaces and do not shake hands. 👏 

(2/4)"
32,2020-11-04 15:02:45+00:00,1324004161487278081,"Come on defense shut it down! 🏈 Our  high school mascots know how to take that ball to victory against :

↔ keep 6 ft distance
😷 wear a mask
🧼 wash/sanitize hands
🏠 stay home if sick

 "
33,2020-10-15 16:54:31+00:00,1316784529378598913,"Standing in Line  

Whether you’re lining up to vote or to eat at a restaurant, be mindful of  safety protocols: 

😷 Wear a face covering 
↔️ Stay 6 ft. apart from other groups 
👏 Sanitize your hands "
34,2020-10-10 23:00:00+00:00,1315064569962741760," and the Flu spreads easiest by person-to-person contact. 

Remember the 3Ws: 
WEAR a mask in public, WASH + sanitize your hands often and WATCH your distance – stay 6 ft apart from others. Protect yourself and your family. "
35,2020-10-09 13:31:13+00:00,1314559041398546433,🎵 Sing along to this classic Texas tune while you wash your hands (for at least 20 seconds) to help keep you + the community safe from . 🎵 
36,2020-09-29 17:00:01+00:00,1310987707867332608,"We’ve flattened the curve, now continue to slow the spread of COVID-19 and keep our community safe. 

✋ Do not touch your face with unwashed hands. "
37,2020-09-26 15:00:01+00:00,1309870346787487745,"It’s important our children wash their hands before + after eating, especially in the cafeteria during ! Remind your child not to share food or drinks, and to put their mask back on when done eating. 🍽️ "
38,2020-09-24 14:17:44+00:00,1309134929066954755,"Remember to cover your coughs + sneezes this , cold, + flu season to prevent the spread of germs in our community! 🤒 

✔️ Sneeze into a tissue + then throw away 
✔️ Cough into your elbow 
✔️ Wash your hands frequently for 20 seconds "
39,2020-09-20 23:00:00+00:00,1307816813028421633,"Before the family goes , continue practicing safe + healthy behaviors! You can be a role model for your kids by demonstrating how to maintain physical distancing, wearing a face mask covering the nose + mouth, and by washing your hands regularly for 20 seconds. 😷 "
40,2020-09-05 18:00:00+00:00,1302305495659798529,Planning to heat up the grill this  weekend? Avoid foodborne illness by ↔️Separating meat from other food ❄️Chilling meat until ready to grill 💧Washing your hands before and after food prep 🌡️Cooking to proper temps 
41,2021-01-18 15:01:01+00:00,1351182816193732611,"Today’s  dashboard update adds 5,400 cases and no additional deaths. Keep following recommended safety measures proven to reduce the spread: , physically distance, wash your hands frequently, and stay home when you are sick.  1/2 "
42,2021-01-16 15:21:43+00:00,1350463247141412864,"Today’s  dashboard update adds 8,715 cases and 208 deaths. Keep following recommended safety measures to prevent the spread: Wear a mask, physically distance, wash your hands frequently, and stay home when you are sick.   "
43,2021-01-14 15:12:02+00:00,1349736034737610753,"Today’s  dashboard update adds 7,311 cases and 182 deaths. Keep following recommended safety measures to prevent the spread: Wear a mask, physically distance, wash your hands frequently, and stay home when you are sick.   "
44,2021-01-09 15:09:41+00:00,1347923504025333760,"Today’s  dashboard update adds 11,094 cases. With the 98 deaths added today, more than 10,000 Arizonans have died from COVID-19. Take precautions that reduce the spread: , distance, avoid crowds, wash hands, stay home if sick. More:  "
45,2021-01-04 15:12:01+00:00,1346112152910888966,"Today’s  dashboard update adds 5,139 cases and three deaths. Keep wearing a mask around anyone who isn't part of your household, washing your hands often, and physically distancing. Remember: You are safer at home.   "
46,2021-01-03 15:09:36+00:00,1345749157823221760,"Today’s  dashboard update adds 17,236 cases and no deaths. , physically distance around anyone who isn’t part of your household. Remember: Many -positive individuals show no symptoms. Wash/sanitize hands, stay home if sick. More:  "
47,2021-01-02 18:00:01+00:00,1345429653956268036,"Happy New Year! Remain vigilant by following recommended safety measures to prevent the spread of : Wear a mask, physically distance, wash your hands frequently, and stay home when you are sick.  "
48,2021-01-01 15:07:40+00:00,1345023892688048128,"Today’s  dashboard update adds 10,060 cases and 151 deaths.  and physically distance around anyone who isn’t a member of your household, even close friends and relatives. Wash/sanitize hands often, stay home if you are sick. Learn more:  "
49,2020-12-28 15:12:51+00:00,1343575649135443968,"Since January, over half a million Arizonans have had . Today’s dashboard update brings the total number of cases to 504,423. We can reduce the spread by taking these important steps:
😷 MaskUp
↔️ Physically Distance
🧼 Wash your hands
🏠 Stay home when sick 
1/2"
50,2020-12-24 15:12:26+00:00,1342125989506162689,"Today’s  dashboard update adds 7,057 cases and 115 deaths. If you gather with people from outside your household, take the same precautions you’d follow in public: , distance, wash/sanitize hands. More:  "
51,2020-12-23 15:12:01+00:00,1341763497680637955,"Today’s  dashboard update adds 6,058 cases and 54 deaths. Keep following the recommended safety measures: Wear a mask, socially distance, wash your hands frequently, and stay home when you are sick.   "
52,2020-12-19 15:03:08+00:00,1340311712147206149,"Today’s  dashboard update adds 5,560 cases and 118 deaths. Be on guard at home. Take precautions around anyone, including a relative, who isn’t part of your household: , distance, wash/sanitize hands, move gatherings outside. More:  1/2 "
53,2020-12-15 15:12:01+00:00,1338864396664098817,"Today’s  dashboard update adds 4,134 cases and 64 deaths. To help slow the spread of COVID-19, wear a mask, avoid close contact with people outside your household, and wash your hands often.  "
54,2020-12-13 15:00:59+00:00,1338136843745837056,"Today’s  dashboard update adds 5,854 cases and 35 deaths. When gathering with people from outside your household, including relatives, take the same precautions you’d follow in public: , maintain distance, wash/sanitize hands. More:  "
55,2020-12-11 15:12:00+00:00,1337414840869154816,"Today’s  dashboard update adds 6,983 cases and 91 deaths. Keep wearing a mask when you are out, washing your hands often, and physically distancing. Remember: You are safer at home.   "
56,2020-12-06 15:00:21+00:00,1335599969240195073,"Today’s  dashboard update adds 5,376 cases and 25 deaths. Moving small gatherings outside reduces the chances of transmission, but be sure to follow other precautions. At a minimum: , stay 6 feet apart, wash hands often. More:  1/3 "
57,2020-12-05 15:02:53+00:00,1335238218287992833,"Today’s  dashboard update adds 6,799 cases and 40 deaths. Mask up around anyone who isn’t a member of your household, even those you know and trust. Physically distance at least 6 feet; wash hands often. Learn more:    1/3 "
58,2020-12-04 21:00:02+00:00,1334965711425458176,"Everyone can help slow the spread of illness: Wear a mask when you are out, wash your hands often, and physically distance at least 6 feet from others. Visit  for more updates. "
59,2020-12-04 15:12:00+00:00,1334878126766239746,"Today’s  dashboard update adds 5,680 cases and 64 deaths. Help protect the lives of Arizonans: Wear a mask, wash your hands often, physically distance in public, and stay home when you are sick.   "
60,2020-11-30 00:00:00+00:00,1333199062879834119,"The highest number of  cases in AZ continues to be reported in the 20- to 44-year-old age group. Everyone can help slow the spread of illness: Wear a mask when you are out, wash your hands often, and physically distance. Visit  for more updates. "
