,Datetime,Tweet_id,Content
35,2020-11-11 18:59:39+00:00,1326600494979158020,Brig. Gen. Thompson and Command Sgt. Maj. Brunell want you to remember the 3 Ws when in a community setting. Wear a mask. Wash your hands. Watch your distance at 6 feet apart. These habits can help protect yourself and others from. 
36,2020-09-16 13:00:01+00:00,1306216267888590848,Here are some helpful hints when choosing a  mask for special situations.   
37,2020-09-03 16:59:40+00:00,1301565537512808448,"When selecting a mask, there are many choices. Here are some do’s and don’ts from the Centers for Disease Control and Prevention.   "
38,2021-01-15 18:45:38+00:00,1350152178099515392,"The wait times have been about 30 minutes to 1 hour, but please plan for a little extra time, as this is APH's first week managing large vaccine sites.  
👉Please remember to wear a mask + keep six-feet of distance between you + others at all times.  
(2/2)"
39,2021-01-09 19:24:10+00:00,1347987548245815298,"We must take simple actions today to stop this from worsening:

🏠 Stay home if you can 
😷 Wear a mask
🧼 Practice proper hand hygiene
↔️ Stay six feet apart 
👪 Do not gather with someone you do not live with

👉 For more info: 
(3/3)"
40,2021-01-02 17:00:00+00:00,1345414550959472643,Making your resolutions for 2021? Make sure that wearing a mask is one of them 😷 
41,2020-12-17 16:42:30+00:00,1339611943183806466,"Wearing a mask, even with friends + family will help prevent the spread of  in our community! "
42,2020-12-16 21:15:30+00:00,1339318255115235337,"Yesterday  +  extended the Stay Home, Mask and Otherwise Be Safe Order through 2/16.

Austin-Travis County Health Authority extended the Health Authority Rules through 4/15 ; included updates.
👉 Read all 3 orders here: 
(1/3) "
43,2020-12-14 16:50:33+00:00,1338526803409956868,The Child's first words!✨Mask you should wear. Spread kindness you must. Spread COVID you should not.✨ 
44,2020-12-11 15:27:11+00:00,1337418661548748800,"  We can still change this forecast. If we continue to mask, social distance and wash our hands, we can flatten those projections again."
45,2020-12-08 15:42:45+00:00,1336335413145792514,Let’s come together to protect our loved ones. Wear a mask + practice physical distancing to protect vulnerable people from . Who do you wear your mask for? 
46,2020-11-24 16:45:46+00:00,1331277844702515200,"The  reports that  activity in the U.S. remains lower than usual for this time of year. Keep up the good work, !

💧Wash your hands
😷Wear a mask
📏Watch your distance
💉And if you haven't already, get your flu shot!

More info:  "
47,2020-11-24 16:00:25+00:00,1331266431921614849," reports that  activity in the U.S. remains lower than usual for this time of year. Keep up the good work, ! 

💧Wash your hands 
😷Wear a mask 
📏Watch your distance 
💉And if you haven't already, get your flu shot! 

More info:  "
48,2020-11-04 15:02:45+00:00,1324004161487278081,"Come on defense shut it down! 🏈 Our  high school mascots know how to take that ball to victory against :

↔ keep 6 ft distance
😷 wear a mask
🧼 wash/sanitize hands
🏠 stay home if sick

 "
49,2020-11-01 18:00:01+00:00,1322961607723491330,"If you join Día de los Muertos festivities in person, 💀 make sure to wear a mask + maintain social distance. 💃

👉 More info:  "
50,2020-10-31 18:00:01+00:00,1322599219836772353,"🎃 If you trick-or-treat this Halloween, don’t let your gourd down! 👻 
🏡 Practice outdoor social distancing 
😷 Wear a mask with your costume
🧼 Use hand hygiene + sanitizer "
51,2020-10-30 20:57:38+00:00,1322281530350280705,"🍬🍭🦇 Make sure you give out treats not tricks this Halloween!
🛍 Line up individually wrapped goodie bags for families to grab and remember to wear your mask! ♥ Spread kindness, not . "
52,2020-10-27 17:00:00+00:00,1321134566829162496,"🎃 Don’t be a jerk-o-lantern this Halloween and help flatten the carve! 👻 
🏡 Practice outdoor social distancing 
😷 Wear a mask with your costume
🧼 Use gourd hand hygiene + sanitizer "
53,2020-10-24 18:00:01+00:00,1320062506329493504," young people can spread  even if they have mild or no symptoms? Wear a mask + social distance to protect our more vulnerable populations. 

👉  "
54,2020-10-23 16:49:38+00:00,1319682403246419974,"Four local  survivors share their recovery stories +remind us to do our part to stop the spread. Please continue to practice good hand hygiene, maintain social distance + wear a mask.  "
55,2020-10-19 23:00:01+00:00,1318326061374050304,"Cover your mouth + nose with a mask in public. Spread kindness, not . "
56,2020-10-14 20:48:34+00:00,1316481041981472774,"Remember to  by wearing a mask that covers your nose + mouth. We can protect our community by reducing the spread of , colds and the flu. "
57,2020-10-14 18:46:58+00:00,1316450441694072834,"     Police 🍸Bars are closed. Recently, some bars have reclassified as restaurants.🍔 Restaurants are permitted up to 75% capacity. Everyone must practice social distancing + masking. Patrons may remove their mask when eating or drinking.

👉If you see a violation, please call 311"
58,2020-10-13 13:37:32+00:00,1316010183965970433,"By avoiding crowds + wearing a mask, you can save lives.  

👷‍♀️👷‍♂️ Together we can stop the spread + return to the simple pleasures in life. 

"
